,Rent,Rental_Type,Area,Elevator,Subway,Balcony,Floor_Type,Electricity,Heating,Renovation,Bedroom_num,Living_Room_num,Bathroom_num,Toward,Location,Maintenance_Date,Facility_Washing_Machine,Facility_Air_Conditioner,Facility_Wardrobe,Facility_TV,Facility_Refrigerator,Facility_Water_Heater,Facility_Bed,Facility_Natural_Gas,Facility_num
0,5600,1,148,1,0,0,2,0,1,1,3,2,2,16,73,2024/10/21,1,1,1,1,1,1,1,1,31
1,22000,1,76,1,1,0,3,0,1,1,1,0,1,10,622,2024/11/10,1,1,1,1,1,1,1,0,27
2,2260,0,10.8,1,1,1,2,0,1,1,0,0,0,15,93,2024/11/6,1,1,1,0,1,1,1,1,28
3,4590,1,37.42,1,1,0,1,0,1,1,1,1,1,14,703,2024/11/10,1,1,1,0,1,0,1,1,24
4,6730,1,42,0,1,0,3,0,1,1,1,1,1,26,576,2024/11/8,1,1,1,1,1,1,1,1,31
5,16300,1,170,1,0,0,1,0,1,1,3,1,2,16,608,2024/11/7,1,1,1,1,1,1,1,1,28
6,26500,1,148.1,1,1,0,2,0,1,0,3,2,2,26,530,2024/11/8,1,1,0,1,1,0,1,1,21
7,6160,1,52.69,0,0,0,2,0,1,1,1,1,1,0,381,2024/11/10,1,1,1,1,1,1,1,1,31
8,2300,1,70.01,0,0,0,3,0,1,0,2,1,1,16,1184,2024/10/27,1,1,1,0,1,1,1,1,25
9,2490,0,7.82,1,0,0,2,0,1,1,0,0,0,25,39,2024/11/10,1,1,1,0,1,1,1,1,28
10,2990,0,12.5,1,0,0,2,0,1,1,0,0,0,23,958,2024/11/10,1,1,1,0,1,0,1,1,24
11,5800,1,67,0,1,0,1,0,1,0,3,1,1,16,474,2024/11/8,1,1,1,0,1,1,1,1,25
12,8900,1,90.94,1,0,0,2,0,1,1,2,1,1,16,1215,2024/11/6,1,1,1,1,1,1,1,1,28
13,11000,1,120,1,0,0,2,0,1,1,2,2,2,16,1135,2024/10/29,1,1,1,1,1,1,1,1,28
14,2360,0,10,0,0,0,2,0,1,1,0,0,0,15,979,2024/11/10,1,1,1,0,1,1,1,1,28
15,3000,1,74.49,1,0,0,2,0,0,1,2,1,1,16,569,2024/11/7,0,0,0,0,0,0,1,0,1
16,3500,1,53.97,0,1,0,2,0,1,0,1,1,1,16,349,2024/11/3,0,1,1,0,0,1,1,1,18
17,2430,0,7.8,0,0,0,3,0,1,1,0,0,0,14,988,2024/11/10,1,1,1,0,1,1,1,1,28
18,3230,0,13.6,0,1,0,1,0,1,1,0,0,0,15,756,2024/11/6,1,1,1,1,1,1,1,1,31
19,24000,1,149,1,0,0,3,0,1,1,3,2,2,16,181,2024/11/4,1,1,1,1,1,1,1,1,28
20,5960,1,57.04,1,1,0,2,0,1,1,1,1,1,23,1074,2024/11/10,1,1,1,1,1,1,1,1,31
21,4000,1,76,1,0,0,1,0,1,1,2,1,1,16,496,2024/10/30,1,1,1,1,1,1,1,0,24
22,4300,1,75.5,1,0,0,1,0,1,1,2,1,1,15,320,2024/11/8,0,1,1,1,1,1,1,1,24
23,5830,1,60,1,1,0,1,0,1,1,1,1,1,15,848,2024/11/7,1,1,1,1,1,1,1,1,31
24,4300,1,54,1,1,0,1,1,1,1,1,1,1,16,49,2024/11/10,1,1,1,1,1,1,1,1,31
25,4006,1,42.16,1,1,0,1,1,1,1,1,1,1,14,49,2024/11/10,1,1,1,1,1,1,1,1,31
26,2530,0,11.2,1,0,1,1,0,1,1,0,0,0,15,663,2024/11/7,1,1,1,0,1,1,1,1,28
27,11500,1,220,0,0,0,1,0,0,1,3,2,3,16,943,2024/11/3,1,1,1,0,1,1,1,1,25
28,5180,1,128,1,0,0,3,0,0,1,4,1,2,16,392,2024/11/9,1,1,1,0,1,1,1,1,25
29,7400,1,58.52,1,1,0,2,0,1,1,1,1,1,9,884,2024/11/4,1,1,1,0,1,1,1,1,25
30,5730,1,54.51,1,1,0,3,0,0,1,2,1,1,14,639,2024/11/10,1,1,1,1,1,1,1,1,28
31,2330,0,12.14,0,0,1,3,0,0,1,0,0,0,15,1299,2024/11/6,1,1,1,0,1,1,1,1,25
32,1800,1,87.52,0,0,0,2,0,1,1,2,2,1,16,258,2024/11/9,1,0,1,1,1,1,1,0,21
33,3400,0,25,1,0,0,1,0,0,1,0,0,0,15,479,2024/10/20,1,1,1,0,1,1,1,0,24
34,2860,0,17.1,1,1,0,3,0,1,1,0,0,0,15,852,2024/11/10,1,1,1,0,1,1,1,1,28
35,2800,1,74.09,0,0,0,3,0,0,1,2,1,1,16,569,2024/11/7,1,1,1,1,1,1,1,1,31
36,2530,0,8.9,0,0,0,2,0,0,1,0,0,0,15,303,2024/11/10,1,1,1,0,1,1,1,1,25
37,6431,1,47.43,0,1,0,2,0,1,1,1,1,1,10,287,2024/11/10,1,1,1,0,1,1,1,1,28
38,2890,0,7.6,1,1,1,1,0,1,1,0,0,0,0,1079,2024/11/7,1,1,1,0,1,1,1,1,28
39,1500,1,102.95,0,0,0,2,0,1,1,3,1,1,16,163,2024/11/7,1,1,1,1,1,1,1,1,28
40,6400,1,63,1,1,0,2,0,1,1,1,1,1,23,522,2024/11/6,1,1,1,1,1,1,1,1,28
41,5300,1,99,0,1,0,2,0,0,1,2,1,1,16,857,2024/10/27,1,1,1,0,1,1,1,1,25
42,4700,1,68,0,0,0,2,0,1,1,2,1,1,16,282,2024/11/8,1,1,1,0,1,1,1,1,25
43,5590,1,89.39,1,0,0,1,0,1,1,2,1,1,15,591,2024/11/7,1,1,1,1,1,1,1,1,31
44,2390,0,15,1,1,0,2,0,0,1,0,0,0,15,214,2024/11/8,1,1,1,1,1,1,1,1,31
45,2150,1,96.6,0,0,0,1,0,0,1,3,1,1,16,1211,2024/11/8,1,1,1,1,1,1,1,1,31
46,3800,1,100.13,0,0,0,3,0,1,1,3,1,1,16,876,2024/10/23,1,1,1,1,1,1,1,1,28
47,5200,1,72.06,0,0,0,1,0,0,0,2,1,1,16,1168,2024/11/9,0,1,0,0,0,1,1,1,15
48,41000,1,348.74,1,0,0,2,0,1,1,4,2,5,3,1029,2024/11/9,0,1,0,0,0,1,0,0,9
49,9190,1,65.44,1,1,0,2,0,0,1,1,1,1,0,28,2024/11/10,1,1,1,1,1,0,1,1,24
50,2800,1,79.93,0,0,0,3,0,1,0,3,1,1,16,172,2024/11/6,0,1,1,0,0,1,1,1,18
51,2290,0,17.6,1,0,0,2,0,1,1,0,0,0,15,253,2024/11/10,1,1,1,0,1,1,1,1,28
52,2960,0,9.1,0,1,0,2,0,1,1,0,0,0,14,205,2024/11/10,1,1,1,0,1,1,1,1,28
53,5500,1,64.7,0,1,0,1,0,1,1,2,1,1,16,854,2024/11/8,1,1,1,1,1,1,1,1,31
54,5200,1,50.39,0,1,0,1,0,1,1,2,1,1,25,302,2024/11/8,1,1,1,1,1,1,1,1,28
55,6690,1,37,0,1,0,2,0,1,1,1,1,1,15,1279,2024/11/7,1,1,1,1,1,1,1,1,31
56,1960,0,11.4,0,0,0,3,0,1,1,0,0,0,14,723,2024/11/8,1,1,1,0,1,1,1,1,28
57,1500,0,10.19,1,1,0,3,0,1,1,0,0,0,23,81,2024/10/28,1,1,1,0,1,1,1,1,28
58,4090,0,18.4,1,1,1,2,0,1,1,0,0,0,15,1012,2024/11/10,1,1,1,0,1,1,1,1,28
59,1790,0,8.3,1,1,0,3,0,1,1,0,0,0,14,901,2024/11/10,1,1,1,1,1,1,1,1,31
60,8500,1,194.88,1,0,0,1,0,1,1,5,3,2,16,1143,2024/11/6,1,1,1,1,1,1,1,1,28
61,2650,1,107.84,0,0,0,3,0,1,1,3,1,1,16,305,2024/11/10,1,1,1,1,1,1,1,0,24
62,2760,0,12,1,1,0,3,1,1,1,0,0,0,15,9,2024/11/10,1,1,1,0,1,1,1,1,28
63,1300,0,12,0,1,0,3,0,1,1,0,0,0,15,685,2024/11/3,0,1,1,0,0,0,1,0,7
64,1690,0,8.45,0,1,0,3,0,1,1,0,0,0,14,441,2024/11/10,1,1,1,1,1,1,1,1,31
65,2600,0,18,1,0,0,3,0,1,1,0,0,0,0,1136,2024/11/5,1,1,1,1,1,1,1,1,31
66,6300,1,65,0,1,0,1,0,1,1,2,1,1,16,1028,2024/11/6,1,1,1,0,1,0,1,0,14
67,7330,1,49.52,1,1,0,2,0,1,1,1,1,1,15,1084,2024/11/9,1,1,1,0,1,1,1,1,28
68,2760,0,22,1,0,0,3,0,1,0,0,0,0,15,431,2024/11/7,1,1,1,1,1,1,1,1,31
69,2490,0,14.9,0,1,1,2,0,1,1,0,0,0,26,626,2024/11/10,1,1,1,0,1,1,1,1,28
70,2960,0,8.46,0,1,0,3,0,1,1,0,0,0,14,215,2024/11/7,1,1,1,0,1,0,1,1,24
71,2600,0,14,1,1,0,1,0,0,1,0,0,0,14,668,2024/11/8,0,1,1,0,0,0,1,1,14
72,1599,0,12,1,1,0,3,0,1,1,0,0,0,15,262,2024/11/10,1,1,1,1,1,1,1,1,31
73,3500,1,62.34,1,1,0,2,0,1,0,1,1,1,26,1119,2024/11/7,1,1,1,0,1,1,1,1,25
74,2099,0,16,1,1,1,1,0,1,0,0,0,0,15,662,2024/11/10,1,1,1,1,1,1,1,1,31
75,5000,1,62.27,0,1,0,3,0,1,1,2,1,1,18,970,2024/11/10,1,1,1,1,1,1,1,1,28
76,5500,1,117,1,0,0,1,0,1,1,3,1,1,16,279,2024/11/6,1,1,1,1,1,1,1,1,28
77,2290,0,10.2,0,1,0,3,0,0,1,0,0,0,23,639,2024/11/10,1,1,1,0,1,1,1,1,25
78,2100,1,102.03,0,0,0,3,0,1,1,3,2,2,16,217,2024/11/9,1,1,1,1,1,1,1,1,28
79,12000,1,150,1,1,0,2,0,1,1,3,2,2,16,294,2024/11/8,1,1,1,1,1,1,1,0,24
80,11500,1,129.73,1,1,0,1,0,1,1,3,2,2,10,932,2024/11/9,1,1,1,1,1,1,1,1,28
81,4200,1,94.05,1,0,0,3,0,1,1,3,1,1,16,116,2024/11/10,1,1,1,1,1,1,1,1,28
82,50000,1,171.25,1,1,0,2,0,1,1,3,2,2,16,102,2024/11/8,1,1,1,1,1,1,1,1,28
