,Rent,Rental_Type,Area,Elevator,Subway,Balcony,Floor_Type,Electricity,Heating,Renovation,Bedroom_num,Living_Room_num,Bathroom_num,Toward,Location,Maintenance_Date,Facility_Washing_Machine,Facility_Air_Conditioner,Facility_Wardrobe,Facility_TV,Facility_Refrigerator,Facility_Water_Heater,Facility_Bed,Facility_Natural_Gas,Facility_num
0,2200,1,93,1,0,0,1,0,0,0,3,2,2,20,833,2024/11/12,1,1,1,0,1,1,1,1,22
1,2300,1,92,1,0,0,3,0,0,1,3,2,2,19,1521,2024/11/12,1,1,0,0,1,1,1,1,19
2,2550,1,101,1,0,0,1,0,0,1,2,1,1,19,1636,2024/11/13,1,1,1,1,1,1,0,1,23
3,2400,1,113,1,0,0,1,0,0,0,3,2,2,19,1636,2024/11/8,1,1,1,0,1,1,1,1,22
4,2458,1,117,1,0,0,1,0,0,1,3,1,2,19,1636,2024/11/15,0,1,0,0,1,1,0,1,13
5,2500,1,135,0,0,0,2,0,0,1,3,2,1,19,1071,2024/11/11,1,1,1,1,1,1,1,1,31
6,2900,1,151,0,0,0,2,0,0,1,3,2,2,19,1636,2024/11/15,1,1,1,1,1,1,1,1,28
7,3100,1,116,1,0,0,2,0,0,1,4,2,2,19,1636,2024/11/15,1,1,1,0,1,1,1,1,22
8,1600,1,150,0,0,0,3,0,0,0,4,2,2,19,1241,2024/11/12,0,1,0,0,0,0,1,1,8
9,3000,1,90,1,0,0,1,0,0,1,3,2,2,6,36,2024/11/14,1,1,1,0,1,1,0,1,20
10,2900,1,151,0,0,0,2,0,0,1,3,2,2,19,1636,2024/11/15,1,1,1,1,1,1,1,1,28
11,2200,1,120,1,1,0,1,0,0,1,3,2,1,19,35,2024/11/14,1,1,1,0,1,1,1,1,22
12,3000,1,90,1,0,0,1,0,0,1,3,2,2,6,36,2024/11/14,1,1,1,0,1,1,0,1,20
13,2000,1,112.92,0,1,0,3,0,0,1,3,2,1,20,685,2024/11/12,0,1,1,0,1,1,1,0,14
14,2600,1,88,0,0,0,3,0,0,1,3,2,2,19,36,2024/11/14,1,1,1,0,1,1,1,1,22
15,2400,1,116.27,1,0,0,3,0,0,0,3,2,2,19,1278,2024/11/15,1,1,1,1,1,1,1,1,25
16,2500,1,92,1,0,0,2,0,0,1,3,2,2,19,1521,2024/11/14,1,1,1,1,1,1,1,1,28
17,2500,1,113,1,0,0,3,0,0,0,3,2,2,19,1636,2024/11/15,1,1,1,0,1,1,1,1,22
18,2650,1,141,1,0,0,1,0,0,1,4,2,2,19,1636,2024/11/11,1,1,1,1,1,1,1,1,28
19,2500,1,92,1,0,0,2,0,0,1,3,2,2,19,1521,2024/11/14,1,1,1,1,1,1,1,1,28
20,2650,1,141,1,0,0,1,0,0,1,4,2,2,19,1636,2024/11/11,1,1,1,1,1,1,1,1,28
21,2500,1,116,0,1,0,2,0,0,1,3,2,1,19,685,2024/11/12,1,1,1,0,1,1,1,1,22
22,1800,1,130,0,0,0,3,0,1,0,3,2,2,19,350,2024/11/9,1,1,1,1,1,1,1,0,21
23,3900,1,150,0,0,0,3,0,0,1,3,2,2,19,942,2024/11/16,1,1,1,0,1,1,1,1,22
24,2520,1,142,0,0,0,2,0,0,1,3,2,2,19,696,2024/11/14,1,1,1,0,1,1,1,0,18
25,1500,1,50,1,0,0,2,1,0,0,1,1,1,19,226,2024/11/11,1,1,1,0,1,1,1,0,18
26,4500,1,119,0,1,0,3,0,0,1,4,2,2,19,604,2024/11/12,0,1,0,0,0,1,0,0,6
27,1600,1,70,1,0,0,1,0,0,0,3,1,1,19,1159,2024/11/9,1,1,1,0,1,1,1,1,22
28,2950,1,105,1,1,0,3,0,0,1,3,2,2,19,162,2024/11/13,1,1,0,0,1,1,0,0,13
