,Rent,Rental_Type,Area,Elevator,Subway,Balcony,Floor_Type,Electricity,Heating,Renovation,Bedroom_num,Living_Room_num,Bathroom_num,Toward,Location,Maintenance_Date,Facility_Washing_Machine,Facility_Air_Conditioner,Facility_Wardrobe,Facility_TV,Facility_Refrigerator,Facility_Water_Heater,Facility_Bed,Facility_Natural_Gas,Facility_num
0,16000,1,170,1,1,0,2,0,0,1,3,2,2,21,369,2024/11/13,1,1,1,1,1,1,0,0,19
1,52000,1,223.47,1,1,0,1,0,0,1,4,2,4,21,397,2024/11/8,1,1,1,1,1,1,1,1,25
2,17500,1,140.76,1,1,0,1,0,0,1,3,1,3,21,2881,2024/11/10,1,1,1,1,1,1,0,1,29
3,11500,1,124.7,1,1,0,1,0,0,0,3,2,2,21,1534,2024/11/9,1,1,1,0,1,1,1,1,22
4,3600,1,24.45,1,1,0,1,0,0,1,1,0,1,30,2652,2024/11/13,1,1,1,1,1,1,1,0,21
5,5300,1,34.03,0,1,0,3,0,0,1,1,1,1,30,1601,2024/11/13,1,1,1,1,1,1,0,1,23
6,42000,1,307,1,1,0,2,0,0,1,5,2,4,21,71,2024/11/7,1,1,1,1,1,1,1,1,28
7,4690,1,40.86,0,1,0,2,0,0,1,1,1,1,21,1243,2024/11/14,1,1,1,0,1,1,1,1,25
8,15000,1,81.86,1,1,0,2,0,0,1,1,2,1,21,747,2024/11/11,1,1,1,1,1,1,1,1,28
9,5800,1,56.67,1,1,0,1,0,0,1,1,1,1,21,3139,2024/11/8,1,1,1,1,1,1,0,0,22
10,25000,1,239.83,1,1,0,3,0,0,1,6,2,4,23,1554,2024/11/8,1,1,1,1,1,1,1,1,28
11,9200,1,77.58,1,1,0,2,0,0,1,1,2,1,21,1435,2024/11/4,1,1,1,0,1,1,0,1,20
12,8700,1,88.77,1,1,0,1,0,0,0,3,1,1,10,2063,2024/11/11,1,1,1,1,1,1,1,1,25
13,3600,1,36.13,1,0,0,3,0,0,1,1,1,1,21,3064,2024/11/11,1,1,1,0,1,1,1,1,22
14,1730,0,10.3,0,0,0,2,0,0,1,3,1,1,19,1411,2024/11/12,1,1,1,0,1,1,1,1,25
15,28000,1,185.06,1,1,0,2,0,0,1,3,2,3,23,71,2024/11/7,1,1,1,1,1,1,1,1,28
16,4030,1,33,0,1,0,2,0,0,1,1,1,1,21,1301,2024/11/12,1,1,1,1,1,1,1,1,28
17,9300,1,93.54,1,1,0,2,0,0,1,3,2,1,21,2229,2024/11/11,1,1,1,1,1,1,0,1,26
18,3900,1,36.67,1,1,0,3,1,0,0,1,0,1,19,2861,2024/11/11,1,1,1,0,1,1,0,0,16
19,26500,1,158,1,0,0,3,0,1,1,3,2,2,21,1072,2024/11/10,1,1,1,0,1,1,0,1,26
20,3900,1,30,1,1,0,2,0,0,1,1,0,1,21,2652,2024/11/14,1,1,0,0,1,1,0,0,13
21,6350,1,43.05,1,1,0,3,0,0,1,1,1,1,21,3139,2024/11/14,1,1,1,0,1,0,0,0,12
22,19000,1,135.04,1,1,0,2,0,0,1,3,2,2,21,162,2024/11/7,1,1,1,1,1,1,0,1,26
23,3430,0,14.05,1,1,1,3,0,0,1,4,1,2,21,2476,2024/11/12,1,1,1,0,1,1,1,1,25
24,9000,1,53,1,1,0,3,0,1,1,1,1,1,21,3205,2024/11/13,1,1,1,1,1,0,1,0,20
25,16000,1,176.58,1,0,0,3,0,0,1,3,2,2,23,1606,2024/11/1,1,1,1,1,1,1,0,1,29
26,3580,1,38.9,0,0,0,3,0,0,0,1,0,1,21,1860,2024/11/7,1,1,1,0,1,1,1,0,18
27,2230,0,11.3,0,1,0,2,0,0,1,3,1,1,19,900,2024/11/14,1,1,1,0,1,0,1,1,21
28,15800,1,133,1,1,0,1,1,0,1,3,2,2,21,943,2024/11/1,0,0,1,0,0,0,1,0,10
29,28000,1,197.61,1,1,0,2,0,0,1,3,2,3,28,71,2024/11/8,1,1,1,1,1,1,1,1,28
30,4700,1,48,1,1,0,1,0,0,1,1,1,1,21,3289,2024/11/13,1,1,1,1,1,1,0,1,26
31,10500,1,116.65,1,1,0,2,0,0,1,3,2,1,23,1534,2024/11/7,1,1,0,0,1,0,0,0,9
32,4300,1,51.31,1,0,0,3,0,0,1,1,1,1,21,896,2024/11/13,1,1,1,1,1,1,0,1,23
33,9200,1,58.32,1,1,0,1,0,0,1,1,1,1,21,2782,2024/11/10,1,1,1,1,1,1,1,0,21
34,19000,1,117.49,1,1,0,1,0,0,1,3,2,2,0,2881,2024/11/8,1,1,1,1,1,1,1,1,28
35,75000,1,235.7,0,1,0,1,0,0,1,5,2,2,21,650,2024/11/8,1,1,1,1,1,1,0,1,23
36,46800,1,176.2,0,1,0,1,0,0,1,7,2,4,21,325,2024/11/2,1,1,1,1,1,1,1,1,28
