,Rent,Rental_Type,Area,Elevator,Subway,Balcony,Floor_Type,Electricity,Heating,Renovation,Bedroom_num,Living_Room_num,Bathroom_num,Toward,Location,Maintenance_Date,Facility_Washing_Machine,Facility_Air_Conditioner,Facility_Wardrobe,Facility_TV,Facility_Refrigerator,Facility_Water_Heater,Facility_Bed,Facility_Natural_Gas,Facility_num
0,700,0,22,1,1,1,2,0,1,1,3,1,2,27,4,2024/11/28,0,1,1,0,0,0,1,0,13
1,750,0,15,1,0,0,2,0,1,1,4,1,2,27,613,2024/12/3,1,1,1,0,1,1,1,0,21
2,1350,0,26,1,0,0,2,0,1,1,4,1,2,27,613,2024/12/3,1,1,1,0,1,1,1,0,21
3,750,0,20,1,0,0,2,0,1,1,4,1,2,27,613,2024/12/3,1,1,1,0,1,1,1,0,21
4,650,0,17,1,1,0,2,0,1,1,3,2,2,27,599,2024/10/12,1,1,1,1,1,1,1,1,31
5,750,0,25,1,1,1,3,0,1,0,3,1,1,27,599,2024/11/25,1,1,1,1,1,1,1,1,31
6,580,0,18,1,1,0,3,0,1,0,3,1,1,27,599,2024/11/25,1,1,1,1,1,1,1,1,31
7,580,0,28,1,1,0,3,0,1,1,5,1,2,25,598,2024/11/23,0,1,1,0,0,0,1,0,10
8,1120,0,21,1,1,1,3,0,1,1,4,1,1,27,276,2024/11/6,1,1,1,1,1,1,1,1,31
9,700,0,22,1,1,0,2,0,1,1,3,1,2,27,1152,2024/11/28,0,1,1,0,0,0,1,0,13
10,900,0,30,1,1,1,1,0,1,1,3,2,2,27,1189,2024/11/30,0,1,1,0,0,0,1,0,10
11,800,0,25,1,1,1,1,0,1,1,3,2,2,27,1189,2024/11/30,0,1,1,0,0,0,1,0,10
12,700,0,20,1,1,1,1,0,1,1,3,2,2,27,1189,2024/11/30,0,1,1,0,0,0,1,0,10
13,1300,0,35,1,1,0,2,0,1,1,5,0,2,27,310,2024/11/25,1,1,1,0,0,1,1,1,25
14,1050,0,22,1,0,1,3,0,1,1,3,2,2,27,897,2024/11/28,1,1,1,0,0,1,1,0,21
15,1100,0,25,1,0,1,2,0,1,1,3,0,2,27,897,2024/11/27,1,1,1,0,0,1,1,1,25
16,700,0,12,1,0,0,3,0,1,1,4,1,2,29,897,2024/11/28,1,1,1,0,0,1,1,0,21
17,800,0,15,1,0,0,3,0,1,1,4,1,2,27,897,2024/11/28,1,1,1,0,0,1,1,0,21
18,1400,0,25,1,0,1,3,0,1,1,4,1,2,27,897,2024/11/28,1,1,1,0,0,1,1,0,21
19,1450,0,25,1,0,1,1,0,1,1,4,1,2,27,897,2024/11/28,1,1,1,0,0,1,1,0,21
20,800,0,25,1,0,1,2,0,1,1,5,0,2,27,897,2024/11/27,1,1,1,0,0,1,1,0,21
21,650,0,15,1,0,1,2,0,1,1,5,0,2,27,897,2024/11/27,1,1,1,0,0,1,1,0,21
22,650,0,12,1,0,0,3,0,1,1,5,1,2,27,1343,2024/11/9,1,1,1,0,0,1,1,1,22
23,650,0,28,1,0,0,1,0,1,1,5,1,2,27,1029,2024/11/30,0,1,1,0,0,0,1,0,10
24,550,0,18,1,0,0,2,0,1,1,5,1,2,27,504,2024/11/30,1,1,1,1,1,1,1,1,31
25,800,0,20,1,0,0,3,0,1,1,4,1,2,27,334,2024/11/30,1,1,1,1,1,1,1,1,31
26,1300,0,20,1,0,0,3,0,1,1,4,1,2,27,334,2024/11/30,1,1,1,1,1,1,1,1,31
27,1000,0,20,1,0,1,3,0,1,1,4,1,2,27,334,2024/11/30,1,1,1,1,1,1,1,1,31
28,1250,0,25,1,1,0,2,0,1,1,4,0,4,27,770,2024/11/29,1,1,1,0,1,1,1,0,21
29,700,0,25,1,1,0,2,0,1,1,5,0,2,25,770,2024/12/2,1,1,1,0,0,1,1,0,21
30,580,0,25,1,1,0,1,0,1,1,5,0,2,25,770,2024/12/2,1,1,1,0,0,1,1,1,25
31,600,0,13,1,1,1,3,0,1,1,5,0,2,13,1362,2024/11/20,1,1,1,0,0,1,1,0,18
32,600,0,15,1,1,0,3,0,1,1,5,0,2,13,1362,2024/11/18,1,1,1,0,0,1,0,0,16
33,650,0,18,0,1,0,3,0,1,1,5,0,2,25,512,2024/11/5,1,1,1,1,1,1,1,0,27
34,1150,0,23.17,1,1,0,1,0,1,1,3,0,3,27,511,2024/12/4,1,1,1,0,1,1,1,0,21
35,1360,0,23,1,0,0,1,0,1,0,5,0,2,27,513,2024/11/18,1,1,1,0,0,1,1,1,22
36,699,0,18,1,0,0,0,0,1,1,5,1,2,43,513,2024/11/8,1,1,1,1,1,1,1,1,31
37,550,0,15,1,0,0,0,0,1,1,5,1,2,39,513,2024/11/29,1,1,1,0,1,1,1,1,28
38,900,0,26,1,1,1,2,0,1,0,5,1,2,27,1139,2024/12/1,1,1,1,0,1,1,1,1,28
39,750,0,15,0,1,0,3,0,1,1,4,0,1,27,17,2024/11/29,1,1,1,1,1,1,1,1,31
40,1100,0,30,1,0,1,3,0,1,0,4,1,1,27,16,2024/12/1,0,1,1,0,0,0,1,0,13
41,1400,0,22,1,1,0,1,0,1,1,4,1,2,27,123,2024/11/28,1,1,1,0,0,1,1,0,21
42,800,0,14,1,1,0,1,0,1,1,4,1,2,27,123,2024/11/28,1,1,1,0,0,1,1,0,21
43,760,0,14,1,1,0,2,0,1,1,5,0,2,25,123,2024/11/18,1,1,1,0,0,1,1,1,22
44,900,0,20,1,1,1,2,0,1,1,5,0,5,27,123,2024/11/22,1,1,1,0,0,1,1,1,19
45,850,0,22,1,0,0,2,0,1,1,5,1,2,25,128,2024/11/30,1,1,1,1,1,1,1,1,31
46,800,0,20,1,0,0,2,0,1,1,5,1,2,25,128,2024/11/30,1,1,1,1,1,1,1,1,31
47,850,0,22,1,0,0,2,0,1,1,5,1,2,27,128,2024/11/30,1,1,1,1,1,1,1,1,31
48,1000,0,24,1,0,1,2,0,1,1,5,1,2,27,128,2024/11/30,1,1,1,1,1,1,1,1,31
49,1300,0,26,1,0,0,2,0,1,1,5,1,2,27,128,2024/11/30,1,1,1,1,1,1,1,1,31
50,1050,0,33,1,0,1,3,0,1,1,1,0,1,27,129,2024/11/14,1,1,1,0,0,1,0,0,16
51,999,0,33,1,0,0,3,0,1,1,1,0,1,27,129,2024/11/22,1,1,1,1,1,1,1,1,31
52,520,0,16,1,1,0,2,0,1,0,3,1,1,27,133,2024/11/26,1,1,1,1,1,1,1,1,31
53,850,0,18,1,1,0,3,0,1,0,3,0,1,27,133,2024/11/18,0,1,1,0,0,0,1,0,10
54,599,0,20,1,1,0,2,0,1,1,5,0,1,25,133,2024/11/10,1,0,1,0,0,1,1,1,19
55,600,0,18,1,1,1,2,0,1,1,5,0,2,27,133,2024/11/5,0,1,1,0,0,0,1,0,10
56,650,0,10,1,1,0,1,0,1,0,3,2,2,27,111,2024/11/26,1,1,1,1,1,1,1,1,31
57,650,0,10,1,1,0,1,0,1,0,3,2,2,27,111,2024/11/26,1,1,1,1,1,1,1,1,31
58,520,0,11,1,1,0,2,0,1,1,5,1,2,27,111,2024/11/17,1,1,1,0,0,1,1,1,25
59,587,0,15,0,1,1,1,0,1,1,5,1,1,27,220,2024/11/26,0,1,1,0,0,0,1,0,10
60,1200,0,25,0,0,1,2,0,1,1,3,1,2,27,222,2024/11/23,1,1,1,1,1,1,1,1,31
61,600,0,22,1,0,1,3,0,1,1,3,1,2,27,1738,2024/12/2,1,1,1,0,1,1,1,1,25
62,750,0,25,1,1,0,1,0,1,1,3,2,2,27,934,2024/11/30,0,0,1,0,0,0,1,0,7
63,750,0,25,1,1,0,1,0,1,1,3,2,2,27,934,2024/11/30,0,0,1,0,0,0,1,0,7
64,800,0,18,0,1,1,1,0,1,1,5,0,2,27,932,2024/11/18,1,1,1,0,0,1,1,1,22
65,700,0,15,0,1,0,1,0,1,1,5,0,2,27,933,2024/11/29,1,1,1,1,1,1,1,1,31
66,680,0,10,1,0,0,2,0,1,0,4,0,2,27,937,2024/11/26,1,1,1,1,1,1,1,1,31
67,700,0,12,1,0,1,2,0,1,0,4,0,2,27,937,2024/11/26,1,1,1,0,1,1,1,1,25
68,700,0,25,1,1,1,3,0,1,1,3,2,2,27,319,2024/11/22,1,1,1,1,1,1,1,1,31
69,760,0,18,1,0,0,1,0,1,1,4,1,1,0,318,2024/11/26,1,1,1,0,1,1,1,1,28
70,620,0,15,1,1,0,2,0,1,1,5,1,1,27,318,2024/11/17,1,1,1,0,1,1,1,1,28
71,650,0,15,0,1,0,2,0,1,1,4,1,2,0,325,2024/11/21,0,1,1,0,0,0,1,0,10
72,650,0,15,0,1,0,2,0,1,1,4,1,2,39,325,2024/11/28,0,1,1,0,0,0,1,0,7
73,880,0,25,1,1,1,1,0,1,0,4,1,2,27,635,2024/11/27,1,1,1,0,1,1,1,1,28
74,520,0,15,0,1,1,1,0,1,1,4,1,2,27,635,2024/12/3,1,1,1,1,1,1,1,1,31
75,799,0,25,1,1,0,2,0,1,1,4,1,2,27,635,2024/12/3,1,1,1,1,1,1,1,1,31
76,799,0,25,0,1,0,2,0,1,1,5,1,2,27,635,2024/12/3,1,1,1,1,1,1,1,1,31
77,799,0,18,1,0,0,1,0,1,1,5,1,2,27,1760,2024/11/22,1,1,1,0,0,1,1,1,22
78,750,0,20,1,1,0,0,0,1,1,3,1,2,27,1785,2024/11/30,1,1,1,1,1,1,1,1,31
79,1320,0,28,1,1,0,2,0,1,1,4,0,2,27,1785,2024/11/22,1,1,1,0,0,0,1,1,18
80,1350,0,25,1,1,0,3,0,0,1,4,0,2,27,1785,2024/11/29,1,1,1,0,1,1,1,1,28
81,880,0,20,1,1,0,2,0,1,1,4,0,2,39,1785,2024/11/22,1,1,1,0,0,1,1,0,15
82,620,0,15,0,0,0,3,0,1,1,5,0,2,27,1790,2024/11/29,1,1,1,1,1,1,1,1,31
83,700,0,18,0,0,0,3,0,1,1,5,0,2,27,1790,2024/11/29,1,1,1,1,1,1,1,1,31
84,750,0,20,1,1,1,3,0,1,1,5,1,2,25,1784,2024/11/29,1,1,1,1,1,1,1,1,31
85,850,0,20,1,1,0,3,0,1,1,5,1,2,27,1784,2024/11/26,1,1,1,1,1,1,1,1,31
86,650,0,20,1,1,0,3,0,1,1,5,0,2,27,1784,2024/11/29,1,1,1,1,1,1,1,1,31
87,688,0,15,1,1,0,3,0,1,1,5,1,2,27,1784,2024/11/30,1,1,1,1,1,1,1,1,31
88,540,0,20,1,1,0,2,0,1,1,5,1,2,27,1762,2024/11/28,1,1,1,0,1,1,1,1,25
89,830,0,20,1,1,1,2,0,1,1,5,1,2,27,1762,2024/11/28,1,1,1,0,1,1,1,1,25
90,690,0,25,1,1,0,2,0,1,1,5,1,2,27,1762,2024/11/28,1,1,1,0,1,1,1,1,25
91,750,0,25,1,1,1,2,0,1,1,5,1,2,27,1762,2024/11/28,1,1,1,0,1,1,1,1,25
92,700,0,25,0,0,0,3,0,1,0,5,0,2,25,1783,2024/11/29,1,1,1,0,0,1,1,0,21
93,1300,0,25,1,1,1,2,0,1,1,5,0,2,27,1768,2024/11/27,1,1,1,0,0,1,1,1,25
94,650,0,15,1,1,0,2,0,1,1,5,0,2,27,1768,2024/11/27,1,1,1,0,1,0,1,0,20
95,800,0,21,1,1,0,3,0,1,0,5,0,2,27,1780,2024/11/30,1,1,1,0,0,1,1,0,21
96,1350,0,40,1,1,1,3,0,1,1,5,1,2,27,283,2024/12/1,1,1,1,1,1,1,1,1,31
97,700,0,15,1,0,0,2,0,1,1,3,1,2,7,626,2024/11/29,1,1,1,0,1,1,1,1,28
98,800,0,20,1,0,0,2,0,1,1,4,1,2,27,626,2024/11/29,1,1,1,0,1,1,1,0,21
99,599,0,22,1,0,0,1,0,1,1,5,0,2,27,626,2024/11/26,1,1,1,1,1,1,1,1,31
100,800,0,25,1,1,1,2,0,1,1,4,1,2,27,625,2024/11/29,1,1,1,0,1,1,1,0,21
101,1050,0,25,1,0,0,2,0,1,1,5,0,3,25,487,2024/11/16,1,1,1,0,0,1,1,0,21
102,800,0,20,1,0,0,2,0,1,1,5,0,2,38,487,2024/11/19,1,1,1,0,1,1,1,1,25
103,800,0,20,1,1,0,3,0,1,1,5,0,2,25,1053,2024/11/22,1,1,1,0,0,1,1,1,22
104,600,0,25,1,0,1,2,0,1,1,5,1,2,27,1067,2024/11/29,1,1,1,0,0,1,1,0,18
105,520,0,14,1,0,1,2,0,1,1,5,1,2,39,1067,2024/11/27,1,1,1,0,0,1,1,0,21
106,650,0,18,1,0,1,3,0,1,1,3,1,2,27,1070,2024/11/26,1,1,1,1,1,1,1,1,31
107,730,0,18,1,0,0,2,0,1,1,4,1,2,14,1070,2024/11/29,1,1,1,0,0,1,1,1,25
108,900,0,25,1,1,0,2,0,1,1,4,1,2,27,1065,2024/12/3,1,1,1,0,1,1,1,0,21
109,750,0,26,1,1,0,3,0,1,1,3,1,1,0,1078,2024/11/30,0,1,1,0,0,0,1,0,10
110,700,0,18,1,1,0,2,1,1,1,5,0,2,27,1075,2024/11/29,1,1,1,0,1,1,1,0,24
111,700,0,10,1,1,0,1,0,1,0,3,2,2,27,1076,2024/11/26,1,1,1,1,1,1,1,1,31
112,1300,0,15,1,1,0,1,0,1,0,3,2,2,27,1076,2024/11/26,1,1,1,1,1,1,1,1,31
113,700,0,10,1,1,0,1,0,1,0,3,2,2,27,1076,2024/11/26,1,1,1,1,1,1,1,1,31
114,1200,0,30,1,1,0,3,0,1,1,4,1,2,27,1076,2024/12/3,1,1,1,0,1,1,1,0,21
115,1200,0,30,1,1,0,3,0,1,1,4,1,2,27,1076,2024/12/3,1,1,1,0,1,1,1,0,21
116,800,0,25,1,1,0,3,0,1,1,4,1,2,27,1076,2024/12/3,1,1,1,0,1,1,1,0,21
117,750,0,30,1,1,1,2,0,1,1,3,1,2,27,1077,2024/11/30,0,1,1,0,0,0,1,0,10
118,600,0,20,1,1,0,2,0,1,1,3,1,2,27,1077,2024/11/30,0,1,1,0,0,0,1,0,10
119,650,0,15,1,1,0,1,0,1,1,4,1,2,0,1077,2024/11/30,0,1,1,0,0,0,1,0,7
120,800,0,21,1,1,0,3,0,1,1,4,1,2,30,1077,2024/11/15,0,1,1,0,0,0,1,0,13
121,700,0,22,1,1,0,3,0,1,1,3,1,2,27,1061,2024/11/28,0,1,1,0,0,0,1,0,13
122,1200,0,28,1,0,0,2,0,1,1,4,1,2,27,998,2024/11/26,1,1,1,1,1,1,1,1,28
123,800,0,30,1,1,1,2,0,1,1,5,0,2,27,997,2024/11/22,0,1,1,0,0,0,1,0,10
124,750,0,13,1,1,0,1,0,1,1,4,1,1,13,1336,2024/11/30,1,1,1,0,1,1,1,1,28
125,850,0,21,1,1,0,1,0,1,1,4,1,1,27,1336,2024/11/30,1,1,1,0,1,1,1,1,28
126,550,0,18,1,1,0,3,0,1,1,5,1,5,25,1336,2024/11/21,1,1,1,0,1,1,1,0,18
127,1220,0,30,1,1,0,1,0,1,1,5,0,3,27,1336,2024/11/26,0,1,1,0,0,1,1,0,14
128,510,0,20,1,0,0,2,0,1,1,5,0,2,27,1489,2024/12/4,1,1,1,0,0,1,1,1,25
129,600,0,18,1,0,0,2,0,1,1,3,2,2,27,1043,2024/11/26,1,1,1,1,1,1,1,1,31
130,700,0,20,1,0,0,3,0,1,1,4,1,2,27,1043,2024/11/29,1,1,1,0,1,1,1,0,21
131,620,0,16,1,0,1,3,0,1,1,5,1,2,25,1044,2024/11/29,1,1,1,0,0,1,1,1,25
132,700,0,20,0,0,0,3,0,1,1,5,0,4,27,426,2024/11/21,1,1,1,0,0,1,1,0,21
133,950,0,32,1,1,0,2,1,1,1,4,0,4,27,759,2024/11/12,1,1,1,0,0,1,1,0,21
134,980,0,32,1,1,0,2,1,1,1,4,0,4,27,759,2024/11/12,1,1,1,0,0,1,1,0,18
135,750,0,20,1,0,0,3,0,1,1,4,1,2,25,1260,2024/11/12,0,1,1,0,0,0,1,0,13
136,750,0,15,1,0,0,2,0,1,1,4,1,2,27,1264,2024/12/3,1,1,1,0,1,1,1,0,21
137,950,0,22.54,1,1,0,3,0,1,1,3,0,3,27,1263,2024/12/4,1,1,1,0,1,1,1,0,21
138,650,0,15,1,0,0,3,0,1,1,3,2,2,27,620,2024/11/30,1,1,1,1,1,1,1,1,31
139,1200,0,25,1,0,0,3,0,1,1,3,2,2,27,620,2024/11/30,1,1,1,1,1,1,1,1,31
140,550,0,10,1,0,0,2,0,1,1,3,1,2,27,1383,2024/11/26,1,1,1,1,1,1,1,1,31
141,550,0,20,1,1,1,2,0,1,0,5,0,2,29,1800,2024/12/1,1,1,1,0,0,1,1,0,21
142,700,0,20,1,1,0,2,0,1,0,5,0,2,29,1800,2024/12/1,1,1,1,0,0,1,1,0,21
143,950,0,30,1,1,1,2,0,1,0,5,0,2,29,1800,2024/12/1,1,1,1,0,0,1,1,0,21
144,1300,0,25,1,1,1,2,0,1,1,4,0,1,27,1799,2024/11/16,0,1,1,0,0,0,1,0,10
145,550,0,20,1,1,1,2,0,0,1,4,1,2,25,1093,2024/11/30,1,1,1,0,1,1,1,0,18
146,599,0,30,1,1,1,2,0,0,1,4,1,2,27,1093,2024/11/30,1,1,1,0,1,1,1,0,18
147,750,0,32,1,1,1,2,0,0,1,4,1,2,27,1093,2024/11/30,1,1,1,0,1,1,1,0,18
148,1150,0,35,1,1,1,2,0,0,1,4,1,2,27,1093,2024/11/30,1,1,1,0,1,1,1,0,18
149,800,0,22,1,1,0,1,0,1,1,4,1,2,27,1093,2024/11/30,1,1,1,1,1,1,1,1,31
150,1150,0,30,1,1,1,1,0,1,1,5,1,2,27,1093,2024/11/30,0,1,1,0,0,0,1,0,10
151,550,0,26,1,1,0,1,0,1,1,5,1,2,27,1093,2024/12/2,0,1,1,0,0,0,1,0,10
152,1100,0,26.98,1,0,0,1,0,1,1,3,0,3,27,364,2024/12/5,1,1,1,0,1,1,1,0,21
153,950,0,24,1,1,1,3,0,1,1,5,0,2,27,357,2024/11/13,1,1,1,0,0,1,1,0,21
154,750,0,20,1,1,0,1,0,1,1,5,0,2,14,369,2024/11/26,0,1,1,0,0,1,1,0,11
155,820,0,21,1,1,0,2,0,1,1,5,0,2,27,369,2024/11/12,1,1,1,0,0,1,1,1,22
156,1400,0,35,1,0,0,3,0,1,1,4,1,2,27,386,2024/11/19,1,1,1,1,1,1,1,1,31
157,810,0,21,1,0,0,2,0,1,1,3,2,2,27,382,2024/11/26,1,1,1,0,1,1,1,1,25
